Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,25 de Mayo,25 de Mayo,873,4704,0,2,0,975,0,664,7218
BUENOS AIRES,25 de Mayo,Del Valle,181,0,0,0,10,1,0,0,192
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,0,0,0,0,0,0,0,181,181
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,0,782,0,6,167,0,0,327,1282
BUENOS AIRES,25 de Mayo,Lucas Monteverde,0,0,0,0,0,0,0,6,6
BUENOS AIRES,25 de Mayo,Ernestina,66,0,0,0,0,0,0,0,66
BUENOS AIRES,25 de Mayo,Pedernales,568,0,0,0,0,0,0,7,575
BUENOS AIRES,9 de Julio,12 de Octubre,0,0,0,0,0,0,0,19,19
BUENOS AIRES,9 de Julio,9 de Julio,4360,3362,82,5886,83,1,0,831,14605
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),450,0,0,0,60,0,0,0,510
BUENOS AIRES,9 de Julio,Dudignac,0,0,1,0,0,0,0,463,464
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),199,0,0,2,2,0,0,0,203
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),0,0,0,88,0,0,0,42,130
BUENOS AIRES,9 de Julio,Patricios,76,0,0,0,0,0,0,0,76
BUENOS AIRES,Adolfo Alsina,Carhué,780,0,1,1418,1,0,0,283,2483
BUENOS AIRES,Adolfo Alsina,Maza,0,0,0,390,0,2,0,14,406
BUENOS AIRES,Adolfo Alsina,Rivera,0,0,0,1202,0,0,0,0,1202
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,198,0,0,0,0,198
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,0,0,0,58,0,0,0,0,58
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),549,0,2,943,0,0,0,313,1807
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,0,0,0,630,0,0,0,59,689
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,0,0,0,0,0,0,0,45,45
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,0,0,0,0,0,0,0,14,14
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),457,0,6,1,0,0,0,8,472
BUENOS AIRES,Alberti,Mechita,285,0,0,0,0,0,0,0,285
BUENOS AIRES,Almirante Brown,Adrogué,214,9259,59,11442,2,1,0,26,21003
BUENOS AIRES,Almirante Brown,Burzaco,142,16127,35,11335,40,2,0,292,27973
BUENOS AIRES,Almirante Brown,Claypole,5,7568,3,4149,13,0,0,2,11740
BUENOS AIRES,Almirante Brown,Don Orione,0,5184,0,0,0,0,0,1,5185
BUENOS AIRES,Almirante Brown,Glew,55,7978,10,11652,12,0,0,54,19761
BUENOS AIRES,Almirante Brown,Jose Mármol,0,7374,1,1410,2,0,0,1,8788
BUENOS AIRES,Almirante Brown,Longchamps,30,9559,20,14739,24,0,0,1,24373
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,2,5311,3,54,2,0,0,1,5373
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,3,3418,4,4066,4,0,0,1,7496
BUENOS AIRES,Almirante Brown,Rafael Calzada,37,10375,15,9925,193,0,0,340,20885
BUENOS AIRES,Almirante Brown,San Francisco Solano,26,4232,4,3261,131,0,0,2,7656
BUENOS AIRES,Almirante Brown,San Jose,3,9174,2,195,0,3,0,1,9378
BUENOS AIRES,Arrecifes,Arrecifes,906,1127,12,4393,60,1,0,1882,8381
BUENOS AIRES,Arrecifes,Todd,0,0,0,304,0,0,0,0,304
