Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,4G,Latitud,Longitud
BUENOS AIRES,Bahía Blanca,Villa Bordeau,0,--,--,--,--,--,--,--,SI,-386472605094596.0,-623200223419024.0
BUENOS AIRES,Bahía Blanca,Villa Espora,0,--,--,--,--,--,--,--,--,-387765069529222.0,-621851833537179.0
BUENOS AIRES,Balcarce,Balcarce,38376,SI,SI,SI,SI,--,SI,SI,SI,-378482779294345.0,-582551665841248.0
BUENOS AIRES,Balcarce,Los Pinos,337,--,--,--,--,--,SI,SI,--,-379412057603.0,-583225920150442.0
BUENOS AIRES,Balcarce,Napaleofú,374,--,--,--,SI,--,SI,SI,SI,-376254980210026.0,-587461862359423.0
BUENOS AIRES,Balcarce,Ramos Otero,95,--,--,--,--,--,SI,--,SI,-375426353712017.0,-583407185507274.0
BUENOS AIRES,Balcarce,San Agustín,498,--,--,--,--,--,SI,SI,--,-380122838564587.0,-58355377761682.0
BUENOS AIRES,Balcarce,Villa Laguna La Brava,115,--,--,--,--,--,SI,SI,SI,-378596285282151.0,-579806008736401.0
BUENOS AIRES,Baradero,Baradero,28537,SI,SI,--,SI,SI,SI,SI,SI,-338128781547156.0,-595043068852807.0
BUENOS AIRES,Baradero,Irineo Portela,379,--,--,--,SI,SI,SI,SI,--,-339810489198561.0,-596715601606315.0
BUENOS AIRES,Baradero,Santa Coloma,203,--,--,--,--,--,SI,--,SI,-34062154134736.0,-595585420642846.0
BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),1488,SI,--,--,--,--,SI,SI,SI,-339096038045591.0,-593882017132282.0
BUENOS AIRES,Benito Juárez,Barker,1241,--,--,SI,SI,SI,SI,SI,SI,-376424111302365.0,-593889380312927.0
CHUBUT,Futaleufú,Lago Rosario,87,--,--,--,--,SI,--,SI,--,-432500168518714.0,-713512318442886.0
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),11331,SI,SI,SI,SI,--,SI,SI,SI,-349267739074255.0,-589453407851291.0
BUENOS AIRES,General Las Heras,La Choza,41,--,--,--,--,--,--,--,--,-347829908276155.0,-591095647693247.0
BUENOS AIRES,General Las Heras,Lozano,0,--,--,--,--,SI,--,--,--,-348542796259808.0,-590533451317779.0
BUENOS AIRES,General Las Heras,Plomer,198,--,--,--,--,--,--,SI,--,-347941193667757.0,-590279756935744.0
BUENOS AIRES,General Las Heras,Villars,1147,--,SI,SI,SI,--,--,SI,--,-348300241949658.0,-589422589402025.0
BUENOS AIRES,General Lavalle,Chacras de San Clemente,0,--,--,--,--,--,SI,--,--,-364080851872455.0,-569433553335054.0
BUENOS AIRES,General Lavalle,General Lavalle,1827,--,SI,--,SI,SI,SI,SI,SI,-364080851872455.0,-569433553335054.0
BUENOS AIRES,General Lavalle,Pavón,942,--,--,--,SI,--,SI,--,SI,-367089537726649.0,-567598433617574.0
BUENOS AIRES,General Paz,Barrio Río Salado,265,--,--,--,--,--,--,--,--,-356936377582584.0,-58447313612508.0
BUENOS AIRES,General Paz,Loma Verde,657,--,--,--,--,--,SI,SI,SI,-352747490125694.0,-584041701894263.0
BUENOS AIRES,General Paz,Ranchos,7916,SI,--,SI,SI,--,SI,SI,SI,-355173520233652.0,-583184247148653.0
BUENOS AIRES,General Paz,Villanueva (Ap. Río Salado),537,--,--,--,--,--,SI,SI,--,-356776271050909.0,-584350923167562.0
BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),811,SI,--,--,--,--,SI,SI,SI,-344162137301573.0,-619280141749282.0
MISIONES,San Ignacio,General Urquiza,372,--,--,--,--,--,SI,--,--,-270988816811273.0,-553678169761144.0
BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),2022,--,SI,--,SI,--,--,SI,SI,-350816834306862.0,-577469762592144.0
BUENOS AIRES,Magdalena,Los Naranjos,115,--,--,--,SI,--,--,--,--,-3499655185849.0,-577036642458572.0
BUENOS AIRES,Magdalena,Magdalena,11093,SI,SI,SI,--,--,SI,SI,SI,-350806853032506.0,-575172585839912.0
BUENOS AIRES,Magdalena,Roberto J. Payró,65,--,--,--,--,--,SI,--,--,-351799267057869.0,-57651986019808.0
BUENOS AIRES,Magdalena,Vieytes,287,--,--,--,SI,--,SI,SI,--,-35269568396303.0,-575757117447539.0
BUENOS AIRES,Maipú,Las Armas,365,SI,--,--,--,--,SI,SI,SI,-370860540989.0,-578285752273883.0
BUENOS AIRES,Maipú,Maipú,8883,SI,--,SI,--,--,SI,SI,SI,-368648514645038.0,-578829166198472.0
