Año,Mes,Personal,Claro,Movistar
2012,3,-17,19,-2
2012,4,3508,-1134,-2185
2012,5,1253,4792,-5192
2012,6,3263,-1248,-1167
2012,7,5554,-3847,-602
2012,8,3131,-1622,-244
2012,9,3701,568,-2632
2012,10,3894,1870,-3996
2012,11,2358,1124,-2156
2012,12,671,2452,-1645
2013,1,1186,3149,-3068
2013,2,-142,1282,-334
2013,3,173,778,91
2013,4,-1637,3847,-662
2013,5,-2078,3972,-467
2013,6,-1442,2990,-386
2013,7,-2748,5868,-1425
2013,8,-4255,6698,-992
2013,9,-1032,6026,-3159
2013,10,-335,4638,-2736
2013,11,-715,4705,-2608
2013,12,2319,3903,-4889
2014,1,-200,6135,-4845
2014,2,-2152,8757,-5531
2014,3,-2314,10604,-7038
2014,4,3252,7131,-8832
2014,5,-846,8606,-6099
2014,6,-8059,18958,-8578
2014,7,-8914,16039,-5133
2014,8,-5095,16506,-9552
2014,9,-807,11581,-8756
2014,10,5607,8777,-12333
2014,11,-1780,11769,-8754
2014,12,4643,12160,-15453
2015,1,3041,15835,-17411
2015,2,-3283,20246,-15867
2015,3,-3860,22138,-16967
2015,4,-8856,33859,-23429
2015,5,-7273,35342,-26685
2015,6,340,38116,-36320
2015,7,-5374,34587,-27238
2015,8,-5840,30912,-23184
2015,9,-15094,37873,-20858
2015,10,-14975,29740,-12579
2015,11,-8894,12088,-1141
2015,12,1467,11232,-10782
2016,1,-941,9045,-6497
2016,2,-3112,8746,-3791
2016,3,-5977,2649,5771
2016,4,-11871,7300,7527
2016,5,-10221,4389,8846
2016,6,-6568,-243,10307
2016,7,-7617,936,10553
2016,8,-7011,1891,9817
2016,9,4031,7003,-6713
2016,10,2337,10836,-8209
2016,11,-402,1645,3339
2016,12,-453,5814,-966
2017,1,-44,10231,-6793
2017,2,-7817,7210,2976
2017,3,-15904,6519,12186
2017,4,-18668,2704,18504
2017,5,-18568,1028,20545
2017,6,-12652,-7104,22815
2017,7,-15445,-4709,22974
2017,8,-11738,-5405,20390
2017,9,-9133,-8596,20209
2017,10,-4870,-8320,16024
2017,11,-1265,-8424,12190
2017,12,-1743,-5784,9568
2018,1,156,1868,-2024
2018,2,1463,310,-1773
2018,3,-1849,4674,-2825
2018,4,3344,1259,-4603
2018,5,13904,-2548,-11356
2018,6,17019,-5019,-12000
2018,7,13149,-6045,-7104
2018,8,8202,-2546,-5656
2018,9,7798,-3796,-4002
2018,10,6195,-1349,-4846
2018,11,18313,-4153,-14160
2018,12,11317,-420,-10897
2019,1,20086,10198,-30284
2019,2,22486,2526,-25012
2019,3,22687,-5927,-16760
2019,4,31071,-23337,-7734
2019,5,13847,-36064,22217
2019,6,892,-42345,41453
2019,7,-13083,-27082,40165
2019,8,740,-12386,11646
2019,9,39279,-37923,-1356
2019,10,40098,-20858,-19240
2019,11,41931,-3890,-38041
2019,12,37242,26325,-63567
2020,1,9681,36449,-46130
2020,2,11049,19569,-30618
2020,3,13983,22278,-36261
2020,4,-3258,20440,-17182
2020,5,-9631,23830,-14199
2020,6,7328,10419,-17747
2020,7,-3189,8284,-5095
2020,8,14229,-23597,9368
2020,9,26117,-32870,6753
2020,10,14078,-29907,15829
2020,11,4652,-18960,14308
2020,12,1713,-19008,17295
2021,1,6755,7394,-14149
2021,2,-10571,9235,1336
2021,3,2881,6419,-9300
2021,4,1218,7828,-9046
2021,5,10855,-1128,-9727
2021,6,4161,7679,-11840
2021,7,-1825,13683,-11858
2021,8,-5993,1369,4624
2021,9,-248,13448,-13200
2021,10,3093,10566,-13659
2021,11,6372,12306,-18678
2021,12,591,9875,-10466
2022,1,15316,-5775,-9541
2022,2,8433,7222,-15655
2022,3,6951,4222,-11182
2022,4,1238,19168,-20430
2022,5,-4594,22626,-18081
2022,6,-3012,20311,-17348
2022,7,2263,7363,-9653
2022,8,996,19548,-20585
2022,9,-2209,18050,-15982
2022,10,-1605,987,469
