Año,Trimestre,Provincia,Radiobases por cada 100 mil habitantes
2021,3,Buenos Aires,70
2021,3,Capital Federal,120
2021,3,Catamarca,88
2021,3,Chaco,69
2021,3,Chubut,55
2021,3,Córdoba,87
2021,4,Corrientes,82
2021,4,Entre Ríos,68
2021,4,Formosa,69
2021,4,Jujuy,56
2021,4,La Pampa,66
2021,4,La Rioja,72
2021,4,Mendoza,54
2021,4,Misiones,75
2021,4,Neuquén,57
2021,4,Río Negro,58
2021,4,Salta,56
2021,4,San Juan,54
2021,4,San Luis,62
2021,4,Santa Cruz,48
2021,4,Santa Fe,76
2021,4,Santiago del Estero,61
2021,4,Tierra del Fuego,68
2021,4,Tucumán,62
